,index,P_number,Project_Name,Approval_Year,Exit_Year,Product_Line,Country,Region,Institution,Lending_Instrument,Practice_Group,Additional_Fin,Project_Cost,Total_Sites,ACTUAL_geoloc,org_id,state,admin2,admin3,admin4,admin5,population,bbox,lat,lng,cost_per_site
0,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,363200,0,Vlorë,Sarandë District,,,,0.0,"{'northeast': [39.74632059750286, 20.077838467657173], 'southwest': [39.71034600249715, 20.03105033234283]}",39.72833,20.05444,67340.06734006734
1,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,363285,1,Vlorë,Delvinë District,,,,0.0,"{'northeast': [39.92826509750351, 20.11567832679368], 'southwest': [39.89229050249649, 20.068766073206316]}",39.91028,20.09222,67340.06734006734
2,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,363288,2,Vlorë,Sarandë District,,,,0.0,"{'northeast': [39.75076509750286, 20.21867337689879], 'southwest': [39.714790502497145, 20.17188222310121]}",39.73278,20.19528,67340.06734006734
3,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,363298,3,Vlorë,Sarandë District,,,,0.0,"{'northeast': [39.80715399750286, 20.14535915437553], 'southwest': [39.77117940249715, 20.09852964562447]}",39.78917,20.12194,67340.06734006734
4,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,363363,4,Vlorë,Delvinë District,,,,0.0,"{'northeast': [39.92437619750286, 20.081788094417043], 'southwest': [39.88840160249715, 20.03487850558296]}",39.90639,20.05833,67340.06734006734
5,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,363368,5,Gjirokastër,,,,,0.0,{},39.93333,20.25,67340.06734006734
6,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,363369,6,Gjirokastër,,,,,0.0,{},39.98333,20.2,67340.06734006734
7,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,363380,7,Vlorë,Sarandë District,,,,0.0,"{'northeast': [39.85409839750285, 20.19204186116024], 'southwest': [39.81812380249714, 20.145180338839758]}",39.83611,20.16861,67340.06734006734
8,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,363409,8,Vlorë,Sarandë District,,,,0.0,"{'northeast': [39.87659839750285, 20.102605146400453], 'southwest': [39.84062380249714, 20.055728253599543]}",39.85861,20.07917,67340.06734006734
9,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,781061,9,Korçë,Rrethi i Pogradecit,,,,0.0,"{'northeast': [40.90937619750286, 20.705189609520165], 'southwest': [40.87340160249715, 20.65758819047984]}",40.89139,20.68139,67340.06734006734
10,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,781093,10,Berat,Rrethi i Skraparit,,,,0.0,"{'northeast': [40.695765297501545, 20.310668232295516], 'southwest': [40.65979070249846, 20.26321976770448]}",40.67778,20.28694,67340.06734006734
11,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,781110,11,Dibër,Rrethi i Bulqizës,,,,0.0,"{'northeast': [41.520209497502854, 20.384579603071664], 'southwest': [41.48423490249714, 20.33653159692834]}",41.50222,20.36056,67340.06734006734
12,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,781127,12,Elbasan,Elbasan District,,,,0.0,"{'northeast': [40.998820597502856, 20.30466627775131], 'southwest': [40.962846002497145, 20.257000322248693]}",40.98083,20.28083,67340.06734006734
13,0,P130492,ENVIRONMENTAL SERVICES PROJECT,2015,#,IBRD/IDA,Albania,ECA,WB,Lending,Environment & Natural Resources,#,20000000.0,297,781132,13,Kukës,Kukës District,,,,0.0,"{'northeast': [42.06854289750286, 20.5767304148048], 'southwest': [42.03256830249715, 20.528269585195197]}",42.05056,20.5525,67340.06734006734
