,org_id,state,admin2,admin3,admin4,admin5,population,bbox,lat,lng
0,0,Vlorë,Sarandë District,,,,0.0,"{'northeast': [39.74632059750286, 20.077838467657173], 'southwest': [39.71034600249715, 20.03105033234283]}",39.72833,20.05444
1,1,Vlorë,Delvinë District,,,,0.0,"{'northeast': [39.92826509750351, 20.11567832679368], 'southwest': [39.89229050249649, 20.068766073206316]}",39.91028,20.09222
2,2,Vlorë,Sarandë District,,,,0.0,"{'northeast': [39.75076509750286, 20.21867337689879], 'southwest': [39.714790502497145, 20.17188222310121]}",39.73278,20.19528
3,3,Vlorë,Sarandë District,,,,0.0,"{'northeast': [39.80715399750286, 20.14535915437553], 'southwest': [39.77117940249715, 20.09852964562447]}",39.78917,20.12194
4,4,Vlorë,Delvinë District,,,,0.0,"{'northeast': [39.92437619750286, 20.081788094417043], 'southwest': [39.88840160249715, 20.03487850558296]}",39.90639,20.058329999999998
5,5,Gjirokastër,,,,,0.0,{},39.93333,20.25
6,6,Gjirokastër,,,,,0.0,{},39.98333,20.2
7,7,Vlorë,Sarandë District,,,,0.0,"{'northeast': [39.85409839750285, 20.19204186116024], 'southwest': [39.81812380249714, 20.145180338839758]}",39.83611,20.16861
8,8,Vlorë,Sarandë District,,,,0.0,"{'northeast': [39.87659839750285, 20.102605146400453], 'southwest': [39.84062380249714, 20.055728253599543]}",39.85861,20.07917
9,9,Korçë,Rrethi i Pogradecit,,,,0.0,"{'northeast': [40.90937619750286, 20.705189609520165], 'southwest': [40.87340160249715, 20.65758819047984]}",40.89139,20.68139
10,10,Berat,Rrethi i Skraparit,,,,0.0,"{'northeast': [40.695765297501545, 20.310668232295516], 'southwest': [40.65979070249846, 20.26321976770448]}",40.67778,20.286939999999998
11,11,Dibër,Rrethi i Bulqizës,,,,0.0,"{'northeast': [41.520209497502854, 20.384579603071664], 'southwest': [41.48423490249714, 20.33653159692834]}",41.50222,20.36056
12,12,Elbasan,Elbasan District,,,,0.0,"{'northeast': [40.998820597502856, 20.30466627775131], 'southwest': [40.962846002497145, 20.257000322248693]}",40.98083,20.280829999999998
13,13,Kukës,Kukës District,,,,0.0,"{'northeast': [42.06854289750286, 20.5767304148048], 'southwest': [42.03256830249715, 20.528269585195197]}",42.05056,20.5525
14,14,Dibër,Rrethi i Dibrës,,,,0.0,"{'northeast': [41.89409839750286, 20.344164123875743], 'southwest': [41.85812380249715, 20.295835876124258]}",41.87611,20.32
15,15,Dibër,Rrethi i Dibrës,,,,0.0,"{'northeast': [41.82465399750286, 20.36024899719595], 'southwest': [41.788679402497145, 20.31197320280405]}",41.806670000000004,20.33611
16,16,Dibër,,Komuna e Xibrit,,,0.0,{},41.46667,20.05
17,17,Korçë,Rrethi i Korçës,,,,0.0,"{'northeast': [40.81493169750286, 20.80071119492323], 'southwest': [40.778957102497145, 20.753177605076772]}",40.79694,20.77694
18,18,Korçë,Rrethi i Korçës,,,,0.0,"{'northeast': [40.651042897502855, 20.612597224562787], 'southwest': [40.61506830249714, 20.565180575437214]}",40.63306,20.58889
19,19,Korçë,Rrethi i Korçës,,,,0.0,"{'northeast': [40.62993169750351, 20.713978627745288], 'southwest': [40.59395710249649, 20.666576972254713]}",40.611940000000004,20.690279999999998
20,20,Korçë,Rrethi i Korçës,,,,0.0,"{'northeast': [40.542987297502854, 20.606170036587827], 'southwest': [40.50701270249714, 20.558829963412173]}",40.525,20.5825
21,21,Berat,Berat District,,,,0.0,"{'northeast': [40.64687619750351, 20.07759574429103], 'southwest': [40.61090160249649, 20.03018205570897]}",40.628890000000006,20.05389
22,22,Vlorë,Delvinë District,,,,0.0,"{'northeast': [40.02465399750285, 20.032378133682695], 'southwest': [39.98867940249714, 19.985399666317303]}",40.00667,20.00889
23,23,Berat,,Komuna e Vëndreshës,,,0.0,{},40.51667,20.116670000000003
24,24,Korçë,Rrethi i Pogradecit,,,,0.0,"{'northeast': [40.972709497502855, 20.486045742790644], 'southwest': [40.93673490249714, 20.438398657209355]}",40.95472,20.462220000000002
25,25,Kukës,Kukës District,,,,0.0,"{'northeast': [41.92632059750286, 20.37112072449588], 'southwest': [41.89034600249715, 20.322768075504122]}",41.90833,20.34694
26,26,Korçë,Rrethi i Pogradecit,,,,0.0,"{'northeast': [40.98132059750286, 20.66299335294487], 'southwest': [40.945346002497146, 20.61534004705513]}",40.96333,20.63917
27,27,Elbasan,Rrethi i Gramshit,,,,0.0,"{'northeast': [40.85215399750285, 20.13572454202496], 'southwest': [40.81617940249714, 20.088164257975038]}",40.83417,20.11194
28,28,Kukës,Tropojë District,,Tropojë,,0.0,{},42.40417,20.16667
