,lat,lng
0,39.72833,20.05444
1,39.91028,20.09222
2,39.73278,20.19528
3,39.78917,20.12194
4,39.90639,20.05833
5,39.93333,20.25
6,39.98333,20.2
7,39.83611,20.16861
8,39.85861,20.07917
9,40.89139,20.68139
10,40.67778,20.28694
11,41.50222,20.36056
12,40.98083,20.28083
13,42.05056,20.5525
14,41.87611,20.32
15,41.80667,20.33611
16,41.46667,20.05
17,40.79694,20.77694
18,40.63306,20.58889
19,40.61194,20.69028
20,40.525,20.5825
21,40.62889,20.05389
22,40.00667,20.00889
23,40.51667,20.11667
24,40.95472,20.46222
25,41.90833,20.34694
26,40.96333,20.63917
27,40.83417,20.11194
28,42.40417,20.16667
29,41.02472,20.07833
30,40.91333,20.55306
31,41.98472,20.52222
32,41.68111,20.40222
33,40.55222,20.02444
34,41.99222,20.34417
35,40.88472,20.09944
36,40.37528,20.15472
37,41.57694,20.05139
38,41.00528,20.42306
39,41.33722,20.47
40,41.80111,20.40833
41,40.77611,20.24056
42,41.0975,20.14833
43,41.53,20.42361
44,42.04056,20.43417
45,41.98,20.60583
46,41.05194,20.05333
47,41.92611,20.18833
48,41.6275,20.27917
49,41.68361,20.01917
50,41.09028,20.57639
51,40.73278,20.03944
52,41.06667,20.46667
53,40.98611,20.5025
54,40.69417,20.94028
55,40.48833,20.37333
56,40.94194,20.29861
57,41.13333,20.25
58,40.06667,20.35
59,40.72583,20.8375
60,40.88111,20.18278
61,40.785,20.70611
62,40.20944,20.41833
63,41.43333,20.45
64,41.83333,20.08333
65,41.28472,20.21194
66,40.13333,20.16667
67,40.76139,20.69833
68,40.16667,20.04833
69,40.18333,20.25
70,40.92694,20.00361
71,40.42556,20.67444
72,40.56028,20.74028
73,40.50917,20.92833
74,41.65417,20.46528
75,41.4,20.2
76,41.58889,20.48306
77,41.68861,20.11028
78,40.13333,20.16667
79,41.28917,20.32361
80,40.83333,20
81,42.34139,20.10861
82,41.6275,20.08528
83,40.78667,20.90222
84,40.70444,20.70861
85,40.03111,20.26306
86,40.15139,20.59722
87,40.53694,20.31333
88,40.76667,20.38333
89,40.60222,20.5125
90,40.04667,20.1475
91,41.20083,20.15222
92,41.14056,20.14611
93,40.78889,20.18889
94,40.86778,20.36361
95,42.07806,20.34194
96,40.80556,20.25111
97,40.94611,20.00972
98,41.36667,20.5
99,41.63333,20.36667
100,41.72944,20.37722
101,41.83889,20.36667
102,41.82194,20.49778
103,42.1875,20.0025
104,41.15667,20.39722
105,40.60833,20.91417
106,41.53333,20
107,41.14556,20.24
108,40.7,20.58333
109,42.2475,20.38028
110,41.51667,20.43333
111,41.0225,20.18889
112,42.11806,20.43583
113,41.04306,20.02972
114,41.93778,20.01111
115,41.68333,20.26667
116,41.75,20.35
117,41.52194,20.28222
118,41.88333,20.5
119,40.36889,20.42444
120,42.26056,20.01694
121,42.16694,20.35083
122,40.33778,20.67889
123,40.58333,20.79222
124,40.65139,20.81361
125,41.67361,20.05833
126,40.62917,20.25111
127,40.4175,20.55028
128,40.85139,20.725
129,40.42056,20.26056
130,40.11806,20.54083
131,40.445,20.00472
132,41.87861,20.42194
133,40.65833,20.75722
134,42.32639,20.07639
135,41.105,20.0225
136,41.86139,20
137,42.16056,20.19194
138,40.6275,20.99
139,41.99472,20.4125
140,40.84583,20.65722
141,40.27778,20.61833
143,41.91306,20.28833
144,41.73583,20.32417
145,,
146,42.31,20.20278
147,40.11667,20.03333
148,42.08333,20.23333
149,42.06667,20.1
150,42.11667,20.5
151,41.93333,20.16667
152,41.19639,20.05972
153,40.71806,20.43806
154,40.57111,20.15
155,40.27917,20.2725
156,39.99222,19.91389
157,39.76889,19.99972
158,40.70917,19.64972
159,41.70778,19.68917
160,41.38944,19.8275
161,41.42972,19.93028
162,41.34444,19.5475
163,40.2,19.75
164,41.87833,19.40556
165,40.70167,19.93222
166,41.29917,19.74417
167,41.87528,19.79472
168,41.68278,19.89333
169,40.76306,19.43278
170,41.04,19.61417
171,42.48333,19.63333
172,41.18,19.5425
173,41.38056,19.53778
174,40.75111,19.7375
175,40.64806,19.86806
