,ADM0_NAME,ADM1_NAME,population
0,Burundi,Bubanza,466432
1,Burundi,Bujumbura Mairie,743377
2,Burundi,Bujumbura Rural,751816
3,Burundi,Bururi,792899
4,Burundi,Cankuzo,315807
5,Burundi,Cibitoke,634877
6,Burundi,Gitega,1099955
7,Burundi,Karuzi,577675
8,Burundi,Kayanza,810563
9,Burundi,Kirundo,861404
10,Burundi,Makamba,497315
11,Burundi,Muramvya,405339
12,Burundi,Muyinga,893381
13,Burundi,Mwaro,379738
14,Burundi,Ngozi,915718
15,Burundi,Rutana,460911
16,Burundi,Ruyigi,554035
17,French Southern and Antarctic Lands (Fr.),Administrative unit not available,0
18,British Indian Ocean Territory (U.K.),Administrative unit not available,0
19,Comoros,Anjouan,54058
20,Comoros,Moheli,295660
21,Comoros,Ngazidja,398348
22,Djibouti,Ali Sabieh,99174
23,Djibouti,Dikhil,101678
24,Djibouti,Djibouti,530818
25,Djibouti,Obock,41178
26,Djibouti,Tadjourah,92081
27,Eritrea,Anseba,690070
28,Eritrea,Archipelagos,16291
29,Eritrea,Debub,1278267
30,Eritrea,Debubawi Keih Bahri,192914
31,Eritrea,Gash Barka,1218359
32,Eritrea,Maekel,465366
33,Eritrea,Semenawi Keih Bahri,1366399
34,Ethiopia,Addis Ababa,4048286
35,Ethiopia,Afar,1908512
36,Ethiopia,Amhara,25413190
37,Ethiopia,Beneshangul Gumu,1018879
38,Ethiopia,Dire Dawa,515863
39,Ethiopia,Gambela,427195
40,Ethiopia,Hareri,257159
41,Ethiopia,Oromia,34991812
42,Ethiopia,SNNPR,19430924
43,Ethiopia,Somali,5459626
44,Ethiopia,Tigray,5840380
45,French Southern and Antarctic Lands (Fr.),Administrative unit not available,0
46,French Southern and Antarctic Lands (Fr.),Administrative unit not available,0
47,French Southern and Antarctic Lands (Fr.),Administrative unit not available,0
48,Kenya,Central,5804920
49,Kenya,Coast,4185601
50,Kenya,Eastern,7190532
51,Kenya,Nairobi,4126510
52,Kenya,North Eastern,1502526
53,Kenya,Nyanza,7015590
54,Kenya,Rift Valley,10957686
55,Kenya,Western,5173176
56,Madagascar,Alaotra Mangoro,1140285
57,Madagascar,Amoron I Mania,797572
58,Madagascar,Analamanga,3651903
59,Madagascar,Analanjirofo,1155085
60,Madagascar,Androy,818743
61,Madagascar,Anosy,744280
62,Madagascar,Atsimo Andrefana,1445822
63,Madagascar,Atsimo Atsinanana,1001348
64,Madagascar,Atsinanana,1370091
65,Madagascar,Betsiboka,326979
66,Madagascar,Boeny,855261
67,Madagascar,Bongolava,511359
68,Madagascar,Diana,748375
69,Madagascar,Haute Matsiatra,1331865
70,Madagascar,Ihorombe,347107
71,Madagascar,Itasy,815193
72,Madagascar,Melaky,314818
73,Madagascar,Menabe,647693
74,Madagascar,Sava,1069712
75,Madagascar,Sofia,1370114
76,Madagascar,Vakinankaratra,2011106
77,Madagascar,Vatovavy Fitovinany,1581643
78,Mozambique,Cabo Delgado,2110232
79,Mozambique,Gaza,1299476
80,Mozambique,Inhambane,1674279
81,Mozambique,Manica,2052083
82,Mozambique,Nampula,5413650
83,Mozambique,Niassa,1723801
84,Mozambique,Sofala,2234340
85,Mozambique,Tete,2643720
86,Mozambique,Zambezia,5258803
87,Mozambique,Maputo,3440134
88,Mozambique,Lago niassa,1394
89,Mauritius,Administrative unit not available,40020
90,Mauritius,Black River,65803
91,Mauritius,Flacq,147563
92,Mauritius,Grand Port,111208
93,Mauritius,Moka,144194
94,Mauritius,Pamplemousses,157590
95,Mauritius,Plaines Wilhems,300036
96,Mauritius,Port Louis,103687
97,Mauritius,Riviere Du Rempart,118873
98,Mauritius,Savanne,57987
99,Malawi,Central Region,7242113
100,Malawi,Northern Region,2236223
101,Malawi,Southern Region,7679399
102,Malawi,Area under National Administration,83470
103,France,Administrative unit not available,217325
104,France,Arrondissement_du_vent,303771
105,France,Arrondissement_souse_le_vent,543711
106,Rwanda,East/Iburasirazuba,2410005
107,Rwanda,Kigali City/Umujyi wa Kigali,1162717
108,Rwanda,North/Amajyaruguru,2202761
109,Rwanda,South/Amajyepfo,2898738
110,Rwanda,West/Iburengerazuba,2932386
111,Somalia,Awdal,437460
112,Somalia,Bakool,433672
113,Somalia,Bari,605488
114,Somalia,Bay,879129
115,Somalia,Banadir,1301034
116,Somalia,Galgaduud,460419
117,Somalia,Gedo,446743
118,Somalia,Hiraan,459039
119,Somalia,Juba Hoose,546706
120,Somalia,Shabelle Hoose,1220242
121,Somalia,Juba Dhexe,330164
122,Somalia,Shabelle Dhexe,722449
123,Somalia,Mudug,486025
124,Somalia,Nugaal,175223
125,Somalia,Sanaag,382975
126,Somalia,Sool,212311
127,Somalia,Togdheer,573848
128,Somalia,Woqooyi Galbeed,1031554
129,South Sudan,El Buheyrat,1056582
130,South Sudan,Unity,901856
131,South Sudan,Central Equatoria,1678230
132,South Sudan,Eastern Equatoria,1289104
133,South Sudan,Jonglei,2054253
134,South Sudan,Northern Bahr El Ghazal,1092285
135,South Sudan,Warab,1419999
136,South Sudan,Western Bahr El Ghazal,454745
137,South Sudan,Western Equatoria,931195
138,South Sudan,Upper Nile,1521338
139,Seychelles,Aldabra,514
140,Seychelles,Alphonse,2
141,Seychelles,Anse Aux Pins,3281
142,Seychelles,Anse Boileau,3889
143,Seychelles,Anse Etoile,5810
144,Seychelles,Anse Royale,4154
145,Seychelles,Aride,3
146,Seychelles,Assumption,34
147,Seychelles,Astove,24
148,Seychelles,Au Cap,4787
149,Seychelles,Baie Lazare,3928
150,Seychelles,Beau Vallon,4112
151,Seychelles,Bel Air,3129
152,Seychelles,Belombre,3442
153,Seychelles,Bijoutier,0
154,Seychelles,Bird,2
155,Seychelles,Cascade,4300
156,Seychelles,Cerf Island,467
157,Seychelles,Conception,42
158,Seychelles,Cosmoledo,15
159,Seychelles,Cousin,89
160,Seychelles,Cousine,0
161,Seychelles,Curieuse,584
162,Seychelles,Darros,5
163,Seychelles,Denis,1
164,Seychelles,Desnoeufs,0
165,Seychelles,Desroches,9
166,Seychelles,English River,3258
167,Seychelles,Farquhar,17
168,Seychelles,Felicite,13
169,Seychelles,Fregate,6
170,Seychelles,Glacis,3107
171,Seychelles,Grand Anse Mahe,4217
172,Seychelles,Grande Soeur,2
173,Seychelles,Ile du Sud,1
174,Seychelles,La Digue,2766
175,Seychelles,Les Mamelles,2773
176,Seychelles,Marie-Louise,1
177,Seychelles,Mont Buxton,1966
178,Seychelles,Mont Fleuri,480
179,Seychelles,North Island,4
180,Seychelles,Petite Soeur,1
181,Seychelles,Plaisance,4083
182,Seychelles,Platte,1
183,Seychelles,Pointe Larue,1781
184,Seychelles,Poivre,2
185,Seychelles,Port Glaud,4022
186,Seychelles,Praslin,7505
187,Seychelles,Providence,5
188,Seychelles,Remire,0
189,Seychelles,Roche Caiman,1433
190,Seychelles,Silhouette,67
191,Seychelles,St Louis,2969
192,Seychelles,St. Francois,0
193,Seychelles,St. Joseph Atoll,3
194,Seychelles,St. Pierre,2
195,Seychelles,Ste Anne,334
196,Seychelles,Takamaka,2381
197,Seychelles,Therese,0
198,Seychelles,Coetivy,25
199,French Southern and Antarctic Lands (Fr.),Administrative unit not available,0
200,Tanzania,Arusha,2163020
201,Tanzania,Dar-es-salaam,3647460
202,Tanzania,Dodoma,2549744
203,Tanzania,Geita,1941297
204,Tanzania,Iringa,1117042
205,Tanzania,Kagera,2998240
206,Tanzania,Kaskazini Pemba,342934
207,Tanzania,Kaskazini Unguja,225251
208,Tanzania,Katavi,688778
209,Tanzania,Kigoma,2228830
210,Tanzania,Kilimanjaro,1952545
211,Tanzania,Kusini Pemba,347307
212,Tanzania,Kusini Unguja,135309
213,Tanzania,Lindi,1107484
214,Tanzania,Manyara,2082973
215,Tanzania,Mara,2292599
216,Tanzania,Mbeya,3250535
217,Tanzania,Mjini Magharibi,566399
218,Tanzania,Morogoro,2585519
219,Tanzania,Mtwara,1582436
220,Tanzania,Mwanza,3128747
221,Tanzania,Njombe,896273
222,Tanzania,Pwani,1284628
223,Tanzania,Rukwa,1222813
224,Tanzania,Ruvuma,1656375
225,Tanzania,Shinyanga,2101382
226,Tanzania,Simiyu,2150228
227,Tanzania,Singida,1653949
228,Tanzania,Tabora,2944342
229,Tanzania,Tanga,2347905
230,Uganda,Adjumani,301278
231,Uganda,Busia,260491
232,Uganda,Hoima,555610
233,Uganda,Jinja,647805
234,Uganda,Kabale,738757
235,Uganda,Kalangala,63519
236,Uganda,Kasese,817868
237,Uganda,Kibaale,664655
238,Uganda,Kisoro,316056
239,Uganda,Moyo,318420
240,Uganda,Ntungamo,622666
241,Uganda,Ssembabule,294590
242,Uganda,Kabarole,570921
243,Uganda,Kaberamaido,215402
244,Uganda,Kampala,2176555
245,Uganda,Kamwenge,430110
246,Uganda,Kanungu,335141
247,Uganda,Kayunga,484299
248,Uganda,Mayuge,328721
249,Uganda,Nakasongola,210139
250,Uganda,Rukungiri,450003
251,Uganda,Wakiso,1526276
252,Uganda,Yumbe,412718
253,Uganda,Amolatar,126772
254,Uganda,Amuria,287344
255,Uganda,Butaleja,257971
256,Uganda,Ibanda,302210
257,Uganda,Isingiro,503393
258,Uganda,Kaabong,627797
259,Uganda,Kaliro,253678
260,Uganda,Katakwi,196860
261,Uganda,Kiruhura,318102
262,Uganda,Koboko,206285
263,Uganda,Luwero,561428
264,Uganda,Mbale,544236
265,Uganda,Mbarara,586166
266,Uganda,Mityana,432820
267,Uganda,Mubende,684946
268,Uganda,Nakaseke,223421
269,Uganda,Tororo,622766
